날짜,종가,오픈,고가,저가,거래량,변동 %
2018-03-28,"2,097.36","2,102.65","2,105.65","2,085.72",31.49M,-1.56%
2018-03-29,"2,112.18","2,098.28","2,117.26","2,089.91",30.72M,0.71%
2018-03-30,"2,114.30","2,127.81","2,133.48","2,114.15",27.58M,0.10%
2018-04-02,"2,109.38","2,120.68","2,129.29","2,107.67",24.72M,-0.23%
2018-04-03,"2,101.25","2,088.78","2,101.25","2,078.71",36.80M,-0.39%
2018-04-04,"2,068.43","2,108.24","2,108.24","2,067.16",33.66M,-1.56%
2018-04-05,"2,101.93","2,085.46","2,113.45","2,078.99",24.39M,1.62%
2018-04-06,"2,090.86","2,082.30","2,096.67","2,077.14",24.86M,-0.53%
2018-04-09,"2,103.67","2,085.70","2,107.34","2,085.70",23.97M,0.61%
2018-04-10,"2,105.57","2,097.10","2,112.64","2,075.89",28.79M,0.09%
2018-04-11,"2,096.81","2,114.02","2,117.15","2,093.30",29.78M,-0.42%
2018-04-12,"2,099.57","2,103.46","2,109.87","2,097.07",30.16M,0.13%
2018-04-13,"2,111.99","2,109.52","2,120.19","2,107.29",26.76M,0.59%
2018-04-16,"2,113.74","2,123.16","2,123.16","2,106.73",20.01M,0.08%
2018-04-17,"2,109.34","2,115.19","2,122.77","2,105.26",24.12M,-0.21%
2018-04-18,"2,138.31","2,124.31","2,142.12","2,124.15",24.73M,1.37%
2018-04-19,"2,149.91","2,143.43","2,153.70","2,137.03",30.91M,0.54%
2018-04-20,"2,129.98","2,137.80","2,142.96","2,125.58",29.62M,-0.93%
2018-04-23,"2,129.83","2,122.58","2,131.41","2,117.61",34.30M,-0.01%
2018-04-24,"2,110.83","2,130.97","2,131.24","2,101.96",30.59M,-0.89%
2018-04-25,"2,101.08","2,090.64","2,101.41","2,084.96",26.09M,-0.46%
2018-04-26,"2,131.57","2,112.81","2,137.60","2,108.70",33.29M,1.45%
2018-04-27,"2,153.52","2,156.77","2,166.40","2,143.87",30.55M,1.03%
2018-04-30,"2,165.77","2,158.64","2,165.90","2,156.38",28.97M,0.57%
