일자,감성도_벤치마킹,반응도_벤치마킹,감성도_시총가중,반응도_시총가중,감성도_뉴스빈도가중,반응도_뉴스빈도가중
2017-12-31,0.12921446666666667,0.12921446666666667,0.34668125783586234,0.34668125783586234,0.1698015067841553,0.1698015067841553
2018-01-01,0.165644459265873,0.309770728281746,0.20112007324280684,0.48339821975125374,0.4531916220789242,0.7309343963949171
2018-01-02,0.2330619231574074,0.2911531850833333,0.29967503618407976,0.49277102557654484,0.5167252276962939,0.7328329033874087
2018-01-03,0.26129946678846155,0.38929584419017094,0.31611337613060325,0.5876138339719617,0.49926352353421827,0.8325323636192943
2018-01-04,0.26336222295555556,0.3366147163777778,0.24549517639556295,0.5000908846388242,0.5023351167926856,0.7640841155074537
2018-01-05,0.13498324685,0.2904661426277778,0.3953364660784499,0.46910090697722623,0.2510997781344388,0.6742228799675701
2018-01-06,0.19884416457037035,0.19884416457037035,0.15776138724172248,0.15776138724172248,0.5975557211474544,0.5975557211474544
2018-01-07,0.2586508798,0.2969464838,0.2690216307838811,0.4315107610298848,0.5571143745241229,0.7055687270072952
2018-01-08,0.31378093194749695,0.48048726014871795,0.297832199178814,0.5566603438837816,0.4580353733273994,0.8017107752188134
2018-01-09,0.2673536527814815,0.4122237078185185,0.20044346441768277,0.5365558318215382,0.5052625197129305,0.7926406220809559
2018-01-10,0.16500921700555554,0.4584005423574074,0.20404444624407905,0.5592859542770886,0.43483942943474196,0.867344801081094
2018-01-11,0.3021880139277778,0.45946264715,0.02169121626645116,0.5388427377082525,0.3905633380786947,0.8381209810998126
2018-01-12,0.15895812596666667,0.19895015396666668,0.09395371320131175,0.4649779997236813,0.35827761888994936,0.5176225124060428
2018-01-13,0.09946230577777779,0.09946230577777779,0.3929294948345095,0.3929294948345095,0.27574244353105143,0.27574244353105143
2018-01-14,0.25401595032222224,0.3457041156555556,0.3305749961444044,0.5676370646677925,0.4931189998250176,0.7611248169318588
2018-01-15,0.2791373762888889,0.30134689473333337,0.5204274031600763,0.5405647031302795,0.6451975646589063,0.7311073488102635
2018-01-16,0.20497158693121692,0.2882630091904762,0.40576100706426604,0.4592560149607499,0.5825497271096707,0.7293016364875518
2018-01-17,0.1315245783888889,0.1981765703888889,0.3621675700950842,0.4044978785934654,0.5036621295635422,0.5623391575633789
2018-01-18,0.19822929581904764,0.4115490859174603,0.4730669287209893,0.5895923009789348,0.5920992719953342,0.8046402471452945
2018-01-19,0.16172427363888892,0.22837119636111114,0.4166462469197606,0.46802359186297365,0.5434346208070772,0.701665863398582
2018-01-20,-0.009825826666666669,0.12054003333333332,0.2758789607281363,0.3561735674562162,0.20893436870096138,0.2941980055793524
2018-01-21,0.02628599274074074,0.35921102327407406,-0.32341354528367655,0.5346070252188457,-0.09833516048788937,0.7658121547237395
2018-01-22,0.16737218257912698,0.39399580079185426,0.06202185027795285,0.5433565576066055,0.22251410333284632,0.8150565539715896
2018-01-23,0.12576187049999998,0.25061830672222224,0.185929630087449,0.43821424297511935,0.5463255782255219,0.6806977497268114
2018-01-24,0.11166384009728834,0.4488615407566324,0.35739978834197644,0.5770286805005019,0.36847073290816834,0.7880386722124445
2018-01-25,0.15058806326514923,0.35701622560982554,0.3813045535211451,0.5085573434561067,0.4176656811565619,0.7352250263751363
2018-01-26,0.040392412222222236,0.28938143749206346,0.276931356524382,0.4204361421330912,0.20760639171283268,0.7249727117322193
2018-01-27,0.1332988887777778,0.1332988887777778,0.36403722989075876,0.36403722989075876,0.4828506834692702,0.4828506834692702
2018-01-28,0.19856758644444444,0.19856758644444444,0.4366013162386636,0.4366013162386636,0.681762984112942,0.681762984112942
2018-01-29,0.25604273060555555,0.43775404685740743,0.09536898271516445,0.5908909446004151,0.31539632599390316,0.7761730752993025
2018-01-30,0.28202988984179894,0.28597153502698414,0.5076613743088387,0.5090222078134766,0.6450216158726741,0.6662517963401812
2018-01-31,0.3043877126957672,0.4750092257666667,0.41432504824163546,0.5926761200758921,0.4516501568120095,0.7888081816260224
2018-02-01,0.12234044483333333,0.3934943886111111,0.19936476822581714,0.5405499965296874,0.2984704044351975,0.7328139183253325
2018-02-02,0.031114765472222215,0.2873951596388889,-0.08740588802465361,0.4326986333218548,0.03311724727347615,0.6701589277704231
2018-02-03,-0.010616571944444445,0.08835236527777778,-0.24034949626240723,0.3089786234129617,-0.03655432624922379,0.3079648821991278
2018-02-04,0.2394209240107143,0.3763201812011905,0.1650984876043236,0.4817193378212818,0.5686460988195535,0.7659159425264496
2018-02-05,0.21151919152777776,0.41431328291666664,0.14765769012455554,0.5193464704846159,0.37268434608900236,0.7864914855965197
2018-02-06,0.25338750563333334,0.32094685963333336,0.36867126189366795,0.4542715430440724,0.6413936653410159,0.6844930576517625
2018-02-07,0.30136659162592594,0.37838752483804716,0.395635267990125,0.5412163883819125,0.560112257369539,0.7861057381823997
2018-02-08,0.25069539119444445,0.3492073557777778,0.4464142551461775,0.5020573981864483,0.6840258150841275,0.7474478634927948
2018-02-09,0.017238281601587295,0.29088961642698413,0.12629453389196793,0.4440149559565461,-0.16873377390289374,0.7332241009413318
2018-02-10,0.08616176666666667,0.08616176666666667,0.23368537558121616,0.23368537558121616,0.23374636310665078,0.23374636310665078
2018-02-11,0.04225096197222222,0.30241736325,0.008464791918563095,0.4857534466914825,0.1230703076515975,0.756133508308369
2018-02-12,0.20195955599999998,0.36162156488888886,0.282880802429091,0.4989489322943046,0.28923941973225076,0.7138128621854158
2018-02-13,0.20847372551798943,0.36003108804179895,0.429388195761242,0.5179273373556893,0.5755863258904285,0.8176467057201784
