일자,kospi,감성수치_벤치마킹,반응도_벤치마킹,감성수치_mc,반응도_mc,감성수치_ns,반응도_ns,감성수치_벤치마킹_ma7,감성수치_벤치마킹_ma15,감성수치_벤치마킹_ma30,감성수치_벤치마킹_ma90,감성수치_mc_ma7,감성수치_mc_ma15,감성수치_mc_ma30,감성수치_mc_ma90,감성수치_ns_ma7,감성수치_ns_ma15,감성수치_ns_ma30,감성수치_ns_ma90,반응도_벤치마킹_ma7,반응도_벤치마킹_ma15,반응도_벤치마킹_ma30,반응도_벤치마킹_ma90,반응도_mc_ma7,반응도_mc_ma15,반응도_mc_ma30,반응도_mc_ma90,반응도_ns_ma7,반응도_ns_ma15,반응도_ns_ma30,반응도_ns_ma90,감성+반응,감성+반응_벤치마킹_ma7,감성+반응_벤치마킹_ma15,감성+반응_벤치마킹_ma30,감성+반응_벤치마킹_ma90,감성+반응_mc,감성+반응_mc_ma7,감성+반응_mc_ma15,감성+반응_mc_ma30,감성+반응_mc_ma90,감성+반응_ns,감성+반응_ns_ma7,감성+반응_ns_ma15,감성+반응_ns_ma30,감성+반응_ns_ma90
2018-01-02,0.5531643817938572,0.2330619231574074,0.2911531850833333,0.2996750361840797,0.4927710255765448,0.5167252276962939,0.7328329033874087,,,,,,,,,,,,,,,,,,,,,,,,,0.06785672124892625,,,,,0.1476711749201171,,,,,0.3786732488661949,,,,
2018-01-03,0.5567908729123697,0.2612994667884615,0.3892958441901709,0.3161133761306032,0.5876138339719617,0.4992635235342182,0.8325323636192943,,,,,,,,,,,,,,,,,,,,,,,,,0.10172279650985563,,,,,0.18575259291792454,,,,,0.41565304131683983,,,,
2018-01-04,0.5460253064757311,0.2633622229555555,0.3366147163777778,0.2454951763955629,0.5000908846388242,0.5023351167926856,0.7640841155074537,,,,,,,,,,,,,,,,,,,,,,,,,0.0886515999848054,,,,,0.12276989993822125,,,,,0.3838262834028726,,,,
2018-01-05,0.5628366099217766,0.13498324685,0.2904661426277778,0.3953364660784499,0.4691009069772262,0.2510997781344388,0.6742228799675701,,,,,,,,,,,,,,,,,,,,,,,,,0.039208063031892636,,,,,0.18545269479857227,,,,,0.16929721557301922,,,,
2018-01-08,0.5713667383935677,0.3137809319474969,0.4804872601487179,0.297832199178814,0.5566603438837816,0.4580353733273994,0.8017107752188134,0.23771183372418453,,,,0.28303361028473045,,,,0.48316130216523046,,,,0.3262582566854498,,,,0.45650130618856366,,,,0.7297867836936128,,,,0.1507677402783641,0.07755544846435396,,,,0.16579137441454153,0.12920521279024433,,,,0.367211894227948,0.35260473271238135,,,
2018-01-09,0.5697158948048834,0.2673536527814815,0.4122237078185185,0.2004434644176827,0.5365558318215382,0.5052625197129305,0.7926406220809559,0.2426106522419094,,,,0.26885767146095946,,,,0.4815237724533214,,,,0.34355404564761904,,,,0.46275627850927703,,,,0.7383307435069766,,,,0.11020951404840708,0.08334987109491557,,,,0.10754910978382064,0.12441557549394346,,,,0.40049159793944844,0.355523804931745,,,
2018-01-10,0.5640435899361614,0.1650092170055555,0.4584005423574074,0.204044446244079,0.5592859542770886,0.4348394294347419,0.867344801081094,0.2288549022729228,,,,0.25284782433431313,,,,0.47232033043911054,,,,0.35342614538579564,,,,0.4587094385528666,,,,0.7433039488586625,,,,0.07564031456931777,0.08088330596296206,,,,0.11411919283255983,0.11598368353970662,,,,0.37715571842529266,0.35107756674161916,,,
2018-01-11,0.5576351245756842,0.3021880139277778,0.45946264715,0.0216912162664511,0.5388427377082525,0.3905633380786947,0.8381209810998126,0.23440144384038314,,,,0.22087583003015432,,,,0.4563529334799689,,,,0.37097584978182746,,,,0.46424541756278487,,,,0.7538806439432851,,,,0.13884410481625786,0.08695727481877344,,,,0.01168815435723629,0.10254059194187569,,,,0.3273393280921334,0.34403564335728615,,,
2018-01-12,0.562241180231885,0.1589581259666666,0.1989501539666666,0.0939537132013117,0.4649779997236813,0.3582776188899493,0.5176225124060428,0.2378264265713355,,,,0.177821151047706,,,,0.47166405358789903,,,,0.3579021371159544,,,,0.46365643081227853,,,,0.7315091628630669,,,,0.031624743635321105,0.08511858633253158,,,,0.043686409630958344,0.08244792021771043,,,,0.18545256122867027,0.34502657699268474,,,
2018-01-15,0.5661977600711633,0.2791373762888889,0.3013468947333333,0.5204274031600763,0.5405647031302795,0.6451975646589063,0.7311073488102635,0.21801780601005286,0.22371679582703566,,,0.25200924775264494,0.26309467196696235,,,0.4432859877330417,0.46255484342445524,,,0.32507862392275133,0.32460859283594357,,,0.5143991123090202,0.4853134099489561,,,0.6833862179915827,0.7082096938794191,,,0.08411718154866665,0.07087292836840532,0.07262039428718013,,,0.2813246846900889,0.1296333333376245,0.12768337239168853,,,0.47170868095661156,0.30293553464554646,0.3275858240640761,,
2018-01-16,0.5759457049535704,0.2049715869312169,0.2882630091904762,0.405761007064266,0.4592560149607499,0.5825497271096707,0.7293016364875518,0.20910608231715794,0.22633860433805858,,,0.28134032527358543,0.2767374008883929,,,0.45432701736114744,0.4711787170931717,,,0.30736995269017386,0.32317474489652553,,,0.5033562813289076,0.4837039296295892,,,0.6743377914782392,0.7081008432189281,,,0.059085726447339865,0.06427292662905244,0.0731469207171877,,,0.1863481831307955,0.14161441991757726,0.1338589682851946,,,0.42485446931645954,0.3063698774962118,0.33364204688048765,,
