Date,Volume,Close
2018-01-02,45726956.0,6021370.0
2018-01-03,21637038.0,5949684.0
2018-01-04,24094530.0,5920704.0
2018-01-05,18406556.0,6021217.0
2018-01-08,20337585.0,6161175.0
2018-01-09,21884830.0,6197738.0
2018-01-10,26628022.0,6225579.0
2018-01-11,22667713.0,6192307.0
2018-01-12,22238156.0,6241507.0
2018-01-15,18613135.0,6260625.0
2018-01-16,16764037.0,6243081.0
2018-01-17,17081906.0,6184119.0
2018-01-18,22124989.0,6170091.0
2018-01-19,18363249.0,6172728.0
2018-01-22,18262004.0,6125189.0
2018-01-23,18736011.0,6147028.0
2018-01-24,16852045.0,6118109.0
2018-01-25,23096592.0,6143776.0
2018-01-26,19316402.0,6146458.0
2018-01-29,18366303.0,6222264.0
2018-01-30,20476877.0,6181922.0
2018-01-31,25250007.0,6176669.0
2018-02-01,17095698.0,6163946.0
2018-02-02,22803935.0,6051542.0
2018-02-05,23710096.0,5952039.0
2018-02-06,27189762.0,5865440.0
2018-02-07,24472386.0,5696934.0
2018-02-08,25049660.0,5723253.0
2018-02-09,25952741.0,5612904.0
2018-02-12,18387934.0,5668037.0
2018-02-13,23780642.0,5664885.0
2018-02-14,18151902.0,5742830.0
2018-02-19,15140465.0,5807122.0
2018-02-20,12448365.0,5785317.0
2018-02-21,15045106.0,5812597.0
2018-02-22,12613723.0,5801479.0
2018-02-23,14883600.0,5937084.0
2018-02-26,16174076.0,5954636.0
2018-02-27,17584515.0,5976688.0
2018-02-28,20086010.0,5898409.0
2018-03-02,17286083.0,5876558.0
2018-03-05,17042777.0,5836770.0
2018-03-06,23324756.0,5863136.0
2018-03-07,29158535.0,5840391.0
2018-03-08,28677012.0,5933983.0
2018-03-09,23570314.0,5973393.0
2018-03-12,17185087.0,6026072.0
2018-03-13,26159948.0,5999494.0
2018-03-14,19886574.0,5938550.0
2018-03-15,18287518.0,5999809.0
2018-03-16,20429018.0,6018771.0
2018-03-19,15896626.0,5964914.0
2018-03-20,14339417.0,5994665.0
2018-03-21,14616824.0,5998684.0
2018-03-22,16072913.0,6004461.0
2018-03-23,23086519.0,5869362.0
2018-03-26,19463978.0,5916923.0
2018-03-27,19940985.0,5986682.0
2018-03-28,21658274.0,5913900.0
2018-03-29,23551745.0,5962168.0
2018-03-30,19005178.0,5944543.0
2018-04-02,14536633.0,5995410.0
2018-04-03,27857977.0,5991227.0
2018-04-04,23601502.0,5945136.0
2018-04-05,18425011.0,5983926.0
2018-04-06,18509896.0,5962939.0
2018-04-09,16921723.0,5997218.0
2018-04-10,20163792.0,6064902.0
2018-04-11,20682321.0,6010519.0
2018-04-12,20771683.0,5981038.0
2018-04-13,17494476.0,6012772.0
2018-04-16,12148800.0,5994958.0
2018-04-17,15088850.0,6018544.0
2018-04-18,18797121.0,6030546.0
2018-04-19,21913127.0,5960450.0
2018-04-20,21471006.0,5977735.0
2018-04-23,23013388.0,5925836.0
2018-04-24,21522178.0,5924391.0
2018-04-25,17881865.0,5825250.0
2018-04-26,23092051.0,5896270.0
2018-04-27,21125370.0,5954699.0
2018-04-30,17694577.0,6059101.0
2018-05-02,24769136.0,5971993.0
2018-05-03,16544576.0,5871380.0
